Electricity used by AHS between 23:00 hrs and 4:00 hrs
Total yearly saving over 2016: $4892.96
kWh Saved since 2016: 30581.0

,Days,HS Main (kWh),LV Plug Loads (DHB),HS DL Lighting (kWh),HS DG Gym (kWh),HS Kitchen Emergency (kWh),HS M1 Chillers (kWh),HS CC Collins Center (kWh)
 ,Monday 2016,556.0,41.0,129.0,122.0,185.0,1.0,80.0
 ,Monday 2017,514.0,41.0,111.0,111.0,184.0,4.0,73.0
 ,Monday 2018,469.0,43.0,101.0,96.0,179.0,4.0,57.0
 , , , , , , , , 
 ,Tuesday 2016,569.0,46.0,136.0,127.0,174.0,1.0,88.0
 ,Tuesday 2017,488.0,41.0,113.0,98.0,172.0,4.0,71.0
 ,Tuesday 2018,486.0,44.0,107.0,105.0,181.0,3.0,55.0
 , , , , , , , , 
 ,Wednesday 2016,569.0,44.0,140.0,126.0,178.0,1.0,80.0
 ,Wednesday 2017,520.0,45.0,117.0,107.0,185.0,2.0,75.0
 ,Wednesday 2018,488.0,44.0,116.0,103.0,174.0,5.0,53.0
 , , , , , , , , 
 ,Thursday 2016,577.0,46.0,138.0,128.0,175.0,0.0,94.0
 ,Thursday 2017,511.0,44.0,116.0,101.0,183.0,1.0,80.0
 ,Thursday 2018,486.0,46.0,116.0,107.0,177.0,10.0,57.0
 , , , , , , , , 
 ,Friday 2016,559.0,41.0,123.0,117.0,178.0,0.0,102.0
 ,Friday 2017,503.0,41.0,106.0,91.0,187.0,1.0,90.0
 ,Friday 2018,446.0,43.0,101.0,92.0,172.0,2.0,65.0
 , , , , , , , , 
 ,Saturday 2016,540.0,40.0,119.0,114.0,177.0,0.0,94.0
 ,Saturday 2017,500.0,42.0,106.0,84.0,186.0,1.0,94.0
 ,Saturday 2018,468.0,45.0,107.0,81.0,179.0,2.0,64.0
 , , , , , , , , 
 ,Sunday 2016,526.0,40.0,120.0,114.0,171.0,0.0,85.0
 ,Sunday 2017,498.0,41.0,104.0,86.0,186.0,1.0,93.0
 ,Sunday 2018,465.0,43.0,104.0,89.0,181.0,2.0,58.0
 , , , , , , , , 
Average percent change over 2016
 ,Days,HS Main (kWh),LV Plug Loads (DHB),HS DL Lighting (kWh),HS DG Gym (kWh),HS Kitchen Emergency (kWh),HS M1 Chillers (kWh),HS CC Collins Center (kWh)
 ,Monday,16.0%,-3.0%,21.0%,21.0%,3.0%,-649.0%,29.0%
 ,Tuesday,15.0%,4.0%,21.0%,17.0%,-5.0%,-469.0%,37.0%
 ,Wednesday,14.0%,1.0%,17.0%,19.0%,2.0%,-439.0%,33.0%
 ,Thursday,16.0%,-1.0%,16.0%,16.0%,-1.0%,-1950.0%,39.0%
 ,Friday,20.0%,-4.0%,17.0%,21.0%,3.0%,-1409.0%,37.0%
 ,Saturday,13.0%,-12.0%,10.0%,29.0%,-1.0%,-1202.0%,32.0%
 ,Sunday,12.0%,-8.0%,13.0%,22.0%,-6.0%,-2331.0%,32.0%
Average savings over 2016
 ,Days,HS Main (kWh),LV Plug Loads (DHB),HS DL Lighting (kWh),HS DG Gym (kWh),HS Kitchen Emergency (kWh),HS M1 Chillers (kWh),HS CC Collins Center (kWh)
 ,Monday,$13.98,$-0.18,$4.36,$4.18,$0.99,$-0.61,$3.68
 ,Tuesday,$13.28,$0.32,$4.64,$3.57,$-1.27,$-0.44,$5.21
 ,Wednesday,$12.91,$0.04,$3.89,$3.8,$0.57,$-0.63,$4.25
 ,Thursday,$14.52,$-0.06,$3.52,$3.31,$-0.33,$-1.55,$5.9
 ,Friday,$17.94,$-0.28,$3.42,$3.95,$0.98,$-0.29,$6.05
 ,Saturday,$11.51,$-0.78,$1.87,$5.28,$-0.27,$-0.31,$4.74
 ,Sunday,$9.72,$-0.52,$2.56,$4.03,$-1.55,$-0.32,$4.4
